index,title,authors,abstract,summary,source,venue_type,journal,publication_status,publication_date,doi,categories,score,matched_keywords,source_hits,matched_researchers,matched_groups,tracking_confidence,tracking_match_type,author_ids,institution_ids,cited_by_count,article_url,pdf_url,open_access_status,local_pdf,pdf_download_status
1,Scopes equivalence for blocks of Ariki-Koike algebras,Joseph Chuang; Kai Meng Tan,"We obtain necessary and sufficient conditions for a block of an Ariki-Koike algebra to have the property that all its associated multipartitions have no addable node with a given residue. This leads to a classification of Scopes equivalence classes for Ariki-Koike algebras in terms of their pyramid numbers and Scopes vectors, generalising that for level 1 and for core blocks. Our proof is independent of the results of Richards for level 1.","We obtain necessary and sufficient conditions for a block of an Ariki-Koike algebra to have the property that all its associated multipartitions have no addable node with a given residue. This leads to a classification of Scopes equivalence classes for Ariki-Koike algebras in terms of their pyramid numbers and Scopes vectors, generalising that for level 1 and for core blocks. Our proof is independent of the results of Richards for level 1.",arxiv,preprint,,preprint,2026-08-12,,math.RT,,,arxiv,Kai Tan,,medium,author_alias,,,,http://arxiv.org/abs/2608.11568v1,https://arxiv.org/pdf/2608.11568v1,open,pdf/2026-08-13_01_Scopes equivalence for blocks of Ariki-Koike algebras.pdf,downloaded
2,High-dimensional Multi-objective Bayesian Optimization with Learned Variable Interactions,Hongyan Wang; Jiayu Huang; Haotian Zheng; Xin Gao; Chi Ding; Ying Liu; Xia Wang; Qing Xu; Keqiang Li,"Multi-objective Bayesian optimization (MOBO) is effective in identifying the Pareto fronts for expensive black-box problems. However, most current MOBO approaches are limited to low-dimensional decision space due to its exponential sampling complexity. This paper presents decision variable interaction analysis-based MOBO, ViaMOBO, a generic framework for expensive multi-objective problems with high-dimensional decision space. The key idea of ViaMOBO is that it utilizes a variable interaction analysis model to determine whether the decision space can be completely or partially divided, and then performs local Bayesian optimization in the divided decision subspaces. Through the variable analysis model, it can be derived whether the objectives in black-box problems are separable, partially separable, or non-separable based on the potential independent or interdependent relationships among decision variables without any strong assumptions. We compare ViaMOBO with the state-of-the-art MOBO methods on both synthetic and real-world benchmarks. The experimental results demonstrate that ViaMOBO outperforms other related MOBO baselines in approximating the Pareto front of high-dimensional expensive multi-objective problems.","Multi-objective Bayesian optimization (MOBO) is effective in identifying the Pareto fronts for expensive black-box problems. However, most current MOBO approaches are limited to low-dimensional decision space due to its exponential sampling complexity. This paper presents decision variable interaction analysis-based MOBO, ViaMOBO, a generic framework for expensive multi-objective problems with high-dimensional decision space. The key idea of ViaMOBO is that it utilizes a variable interaction analysis model to determine whether the decision space can be completely or partially divided, and then performs local Bayesian optimization in the divided decision subspaces. Through the variable analysis model, it can be derived whether the objectives in black-box problems are separable, partially separable, or non-separable based on the potential independent or interdependent relationships among decision variables without any strong assumptions. We compare ViaMOBO with the state-of-the-art MOBO methods on both synthetic and real-world benchmarks. The experimental results demonstrate that ViaMOBO outperforms other related MOBO baselines in approximating the Pareto front of high-dimensional expensive multi-objective problems.",arxiv,preprint,,preprint,2026-08-12,,cs.LG; cs.AI,,,arxiv,Xin Gao,,medium,author_alias,,,,http://arxiv.org/abs/2608.11713v1,https://arxiv.org/pdf/2608.11713v1,open,pdf/2026-08-13_02_High-dimensional Multi-objective Bayesian Optimization with Learned Variable Interactions.pdf,downloaded
3,MuseCritic: Learning Multi-Aspect Song Rewards through Natural-Language Aesthetic Critiques,Jiabao Zhuang; Changhao Jiang; Hanchen Wang; Jiahao Chen; Zhixiong Yang; Zhenghao Xiang; Yifei Cao; Jiajun Sun; Hui Li; Ming Zhang; Tao Ji; Tao Gui; Qi Zhang; Xuanjing Huang,"Long-form song generation models continue to improve in duration, structural integrity, and acoustic complexity, making reliable aesthetic rewards increasingly important for aligning these models with human preferences. However, reward models for complete songs remain limited, and existing evaluators typically predict scores in a single forward pass without providing readable explanations. We introduce MUSECRITIC, a semi-scalar reward model that generates a natural-language critique covering five aesthetic dimensions and uses it as an intermediate representation to predict continuous reward scores. MUSECRITIC follows a two-stage training pipeline: a teacher model first provides high-quality critiques for supervised fine-tuning, after which the fine-tuned model generates its own critiques for reward learning, mitigating distribution shift between training and inference. On an in-domain test set of 200 SongEval songs, MUSECRITIC reduces macro-averaged mean squared error from 0.2875 to 0.2316 and improves macro-averaged LCC, SRCC, and Kendall's tau to 0.9068, 0.8838, and 0.7178, respectively. On the out-of-domain Music Arena benchmark with 733 preference pairs, it achieves the highest accuracy of 71.35%. Moreover, using MUSECRITIC with GRPO improves Muse-0.6B on all nine aesthetic metrics from SongEval and Audiobox Aesthetics. These results demonstrate that critique-conditioned reward modeling reduces scoring error and provides an effective optimization signal for song generation. The project repository is available at https://github.com/WuqnEl/MuseCritic.","Long-form song generation models continue to improve in duration, structural integrity, and acoustic complexity, making reliable aesthetic rewards increasingly important for aligning these models with human preferences. However, reward models for complete songs remain limited, and existing evaluators typically predict scores in a single forward pass without providing readable explanations. We introduce MUSECRITIC, a semi-scalar reward model that generates a natural-language critique covering five aesthetic dimensions and uses it as an intermediate representation to predict continuous reward scores. MUSECRITIC follows a two-stage training pipeline: a teacher model first provides high-quality critiques for supervised fine-tuning, after which the fine-tuned model generates its own critiques for reward learning, mitigating distribution shift between training and inference. On an in-domain test set of 200 SongEval songs, MUSECRITIC reduces macro-averaged mean squared error from 0.2875 to 0.2316 and improves macro-averaged LCC, SRCC, and Kendall's tau to 0.9068, 0.8838, and 0.7178, respectively. On the out-of-domain Music Arena benchmark with 733 preference pairs, it achieves the highest accuracy of 71.35%. Moreover, using MUSECRITIC with GRPO improves Muse-0.6B on all nine aesthetic metrics from SongEval and Audiobox Aesthetics. These results demonstrate that critique-conditioned reward modeling reduces scoring error and provides an effective optimization signal for song generation. The project repository is available at https://github.com/WuqnEl/MuseCritic.",arxiv,preprint,,preprint,2026-08-12,,cs.SD; cs.CL,,,arxiv,Hanchen Wang,,medium,author_alias,,,,http://arxiv.org/abs/2608.11755v1,https://arxiv.org/pdf/2608.11755v1,open,pdf/2026-08-13_03_MuseCritic_ Learning Multi-Aspect Song Rewards through Natural-Language Aesthetic Critiques.pdf,downloaded
